lead_time,portuguese
35,Non Portuguese
16,Portuguese
103,Portuguese
13,Non Portuguese
289,Non Portuguese
361,Non Portuguese
361,Non Portuguese
89,Non Portuguese
89,Non Portuguese
81,Non Portuguese
85,Non Portuguese
103,Non Portuguese
107,Non Portuguese
93,Non Portuguese
262,Non Portuguese
12,Non Portuguese
5,Portuguese
9,Non Portuguese
9,Non Portuguese
66,Non Portuguese
67,Portuguese
0,Non Portuguese
124,Non Portuguese
2,Portuguese
2,Portuguese
2,Portuguese
13,Portuguese
20,Portuguese
68,Portuguese
1,Portuguese
128,Non Portuguese
223,Non Portuguese
1,Non Portuguese
59,Non Portuguese
93,Non Portuguese
0,Non Portuguese
193,Non Portuguese
292,Non Portuguese
117,Non Portuguese
117,Non Portuguese
120,Non Portuguese
120,Non Portuguese
163,Non Portuguese
0,Non Portuguese
103,Non Portuguese
7,Non Portuguese
83,Non Portuguese
7,Non Portuguese
153,Non Portuguese
3,Portuguese
3,Portuguese
286,Non Portuguese
26,Non Portuguese
286,Non Portuguese
286,Non Portuguese
67,Non Portuguese
0,Portuguese
286,Non Portuguese
83,Portuguese
0,Non Portuguese
59,Portuguese
94,Non Portuguese
3,Portuguese
112,Non Portuguese
243,Non Portuguese
205,Non Portuguese
205,Non Portuguese
130,Non Portuguese
329,Non Portuguese
126,Non Portuguese
181,Non Portuguese
118,Non Portuguese
118,Non Portuguese
208,Non Portuguese
200,Non Portuguese
5,Portuguese
147,Non Portuguese
97,Non Portuguese
104,Non Portuguese
118,Non Portuguese
118,Non Portuguese
104,Non Portuguese
118,Non Portuguese
118,Non Portuguese
7,Portuguese
108,Non Portuguese
0,Portuguese
222,Non Portuguese
126,Non Portuguese
4,Non Portuguese
219,Non Portuguese
195,Non Portuguese
154,Non Portuguese
0,Portuguese
118,Non Portuguese
126,Non Portuguese
62,Non Portuguese
89,Non Portuguese
103,Non Portuguese
98,Non Portuguese
303,Non Portuguese
87,Non Portuguese
130,Portuguese
72,Non Portuguese
72,Non Portuguese
302,Non Portuguese
194,Non Portuguese
142,Non Portuguese
95,Non Portuguese
127,Non Portuguese
79,Non Portuguese
95,Non Portuguese
95,Non Portuguese
15,Non Portuguese
11,Non Portuguese
18,Portuguese
0,Portuguese
25,Non Portuguese
1,Portuguese
68,Non Portuguese
0,Portuguese
2,Portuguese
8,Non Portuguese
1,Non Portuguese
33,Portuguese
153,Non Portuguese
133,Non Portuguese
98,Non Portuguese
105,Non Portuguese
0,Non Portuguese
11,Non Portuguese
107,Non Portuguese
168,Non Portuguese
1,Non Portuguese
255,Non Portuguese
9,Portuguese
87,Portuguese
3,Portuguese
239,Non Portuguese
131,Portuguese
93,Portuguese
2,Portuguese
5,Portuguese
33,Non Portuguese
5,Non Portuguese
93,Non Portuguese
93,Non Portuguese
101,Non Portuguese
26,Portuguese
283,Non Portuguese
358,Non Portuguese
110,Non Portuguese
128,Non Portuguese
219,Non Portuguese
128,Non Portuguese
132,Non Portuguese
117,Non Portuguese
114,Non Portuguese
42,Non Portuguese
105,Non Portuguese
104,Non Portuguese
117,Non Portuguese
105,Non Portuguese
13,Non Portuguese
114,Non Portuguese
128,Non Portuguese
128,Non Portuguese
91,Non Portuguese
287,Non Portuguese
99,Non Portuguese
192,Non Portuguese
26,Portuguese
26,Portuguese
6,Portuguese
6,Portuguese
56,Non Portuguese
14,Portuguese
2,Non Portuguese
0,Non Portuguese
11,Non Portuguese
0,Non Portuguese
2,Portuguese
0,Non Portuguese
0,Portuguese
72,Non Portuguese
98,Non Portuguese
72,Non Portuguese
220,Non Portuguese
47,Non Portuguese
203,Non Portuguese
203,Non Portuguese
150,Non Portuguese
12,Non Portuguese
2,Non Portuguese
12,Non Portuguese
77,Non Portuguese
2,Non Portuguese
17,Non Portuguese
352,Non Portuguese
216,Non Portuguese
19,Non Portuguese
7,Portuguese
7,Portuguese
7,Portuguese
7,Portuguese
7,Portuguese
8,Portuguese
3,Non Portuguese
11,Portuguese
18,Non Portuguese
2,Non Portuguese
156,Non Portuguese
134,Non Portuguese
114,Non Portuguese
114,Non Portuguese
114,Non Portuguese
54,Non Portuguese
238,Non Portuguese
334,Non Portuguese
238,Portuguese
159,Non Portuguese
352,Non Portuguese
99,Non Portuguese
267,Non Portuguese
166,Portuguese
142,Non Portuguese
159,Non Portuguese
353,Non Portuguese
47,Non Portuguese
203,Non Portuguese
48,Non Portuguese
203,Non Portuguese
120,Non Portuguese
221,Non Portuguese
278,Non Portuguese
278,Non Portuguese
72,Non Portuguese
186,Non Portuguese
129,Non Portuguese
98,Non Portuguese
243,Non Portuguese
114,Non Portuguese
99,Non Portuguese
203,Non Portuguese
16,Non Portuguese
0,Portuguese
52,Non Portuguese
106,Non Portuguese
10,Non Portuguese
2,Portuguese
14,Non Portuguese
50,Non Portuguese
0,Non Portuguese
110,Non Portuguese
110,Non Portuguese
6,Portuguese
162,Non Portuguese
11,Non Portuguese
24,Non Portuguese
77,Non Portuguese
13,Non Portuguese
251,Non Portuguese
251,Non Portuguese
45,Non Portuguese
71,Non Portuguese
141,Non Portuguese
161,Non Portuguese
11,Non Portuguese
14,Non Portuguese
142,Non Portuguese
19,Portuguese
31,Non Portuguese
121,Non Portuguese
33,Non Portuguese
1,Non Portuguese
10,Non Portuguese
203,Non Portuguese
270,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Non Portuguese
63,Non Portuguese
203,Non Portuguese
388,Non Portuguese
203,Non Portuguese
203,Non Portuguese
223,Non Portuguese
388,Non Portuguese
203,Non Portuguese
388,Non Portuguese
289,Non Portuguese
388,Non Portuguese
203,Non Portuguese
203,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
203,Non Portuguese
388,Non Portuguese
0,Non Portuguese
388,Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
388,Non Portuguese
175,Non Portuguese
175,Non Portuguese
203,Non Portuguese
17,Non Portuguese
77,Non Portuguese
21,Portuguese
203,Non Portuguese
2,Non Portuguese
203,Non Portuguese
3,Non Portuguese
203,Non Portuguese
302,Non Portuguese
2,Non Portuguese
102,Non Portuguese
203,Portuguese
0,Portuguese
203,Portuguese
203,Non Portuguese
37,Non Portuguese
2,Non Portuguese
200,Non Portuguese
200,Non Portuguese
200,Non Portuguese
200,Non Portuguese
1,Portuguese
130,Non Portuguese
203,Non Portuguese
107,Non Portuguese
107,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Non Portuguese
16,Non Portuguese
99,Non Portuguese
203,Non Portuguese
2,Non Portuguese
203,Non Portuguese
202,Non Portuguese
203,Non Portuguese
138,Non Portuguese
203,Non Portuguese
202,Non Portuguese
307,Non Portuguese
206,Non Portuguese
307,Non Portuguese
309,Non Portuguese
164,Non Portuguese
1,Non Portuguese
14,Non Portuguese
2,Non Portuguese
129,Non Portuguese
9,Non Portuguese
274,Non Portuguese
274,Non Portuguese
39,Non Portuguese
1,Non Portuguese
196,Non Portuguese
10,Non Portuguese
61,Non Portuguese
227,Non Portuguese
203,Non Portuguese
38,Non Portuguese
18,Non Portuguese
38,Non Portuguese
11,Non Portuguese
0,Portuguese
319,Non Portuguese
9,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Portuguese
203,Non Portuguese
131,Non Portuguese
203,Non Portuguese
272,Non Portuguese
128,Non Portuguese
4,Portuguese
151,Non Portuguese
204,Non Portuguese
211,Non Portuguese
2,Non Portuguese
0,Non Portuguese
1,Non Portuguese
5,Non Portuguese
345,Non Portuguese
40,Non Portuguese
40,Non Portuguese
40,Non Portuguese
40,Non Portuguese
17,Portuguese
337,Non Portuguese
1,Non Portuguese
258,Portuguese
7,Non Portuguese
123,Non Portuguese
21,Portuguese
201,Non Portuguese
300,Non Portuguese
345,Non Portuguese
68,Non Portuguese
77,Portuguese
1,Portuguese
1,Portuguese
270,Non Portuguese
116,Non Portuguese
65,Non Portuguese
4,Non Portuguese
32,Non Portuguese
338,Non Portuguese
116,Non Portuguese
112,Non Portuguese
1,Portuguese
36,Non Portuguese
5,Non Portuguese
184,Non Portuguese
352,Non Portuguese
203,Non Portuguese
314,Non Portuguese
337,Non Portuguese
310,Non Portuguese
192,Non Portuguese
309,Non Portuguese
309,Non Portuguese
309,Non Portuguese
305,Non Portuguese
301,Non Portuguese
303,Non Portuguese
306,Non Portuguese
314,Non Portuguese
4,Non Portuguese
1,Non Portuguese
34,Non Portuguese
154,Non Portuguese
280,Non Portuguese
139,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Non Portuguese
203,Non Portuguese
14,Portuguese
1,Portuguese
1,Portuguese
170,Portuguese
174,Non Portuguese
330,Non Portuguese
120,Non Portuguese
202,Non Portuguese
124,Non Portuguese
207,Non Portuguese
0,Non Portuguese
95,Non Portuguese
124,Non Portuguese
172,Non Portuguese
353,Non Portuguese
117,Non Portuguese
164,Non Portuguese
124,Non Portuguese
138,Non Portuguese
1,Portuguese
203,Non Portuguese
138,Non Portuguese
352,Non Portuguese
42,Non Portuguese
167,Non Portuguese
3,Non Portuguese
135,Non Portuguese
352,Non Portuguese
203,Non Portuguese
352,Non Portuguese
353,Non Portuguese
199,Non Portuguese
159,Non Portuguese
73,Non Portuguese
212,Non Portuguese
333,Non Portuguese
124,Non Portuguese
44,Non Portuguese
44,Non Portuguese
34,Non Portuguese
71,Non Portuguese
39,Non Portuguese
79,Non Portuguese
40,Non Portuguese
61,Non Portuguese
5,Portuguese
1,Portuguese
2,Non Portuguese
1,Non Portuguese
10,Non Portuguese
2,Portuguese
1,Portuguese
25,Non Portuguese
71,Non Portuguese
6,Portuguese
135,Non Portuguese
135,Non Portuguese
137,Non Portuguese
351,Portuguese
12,Non Portuguese
2,Non Portuguese
192,Non Portuguese
3,Portuguese
1,Portuguese
2,Non Portuguese
277,Non Portuguese
7,Non Portuguese
5,Non Portuguese
230,Non Portuguese
107,Non Portuguese
230,Non Portuguese
1,Non Portuguese
122,Non Portuguese
10,Non Portuguese
137,Non Portuguese
137,Portuguese
2,Portuguese
1,Portuguese
1,Portuguese
19,Portuguese
6,Non Portuguese
132,Non Portuguese
9,Non Portuguese
7,Non Portuguese
15,Non Portuguese
1,Non Portuguese
1,Non Portuguese
7,Portuguese
19,Non Portuguese
158,Non Portuguese
191,Non Portuguese
6,Portuguese
14,Non Portuguese
46,Non Portuguese
1,Non Portuguese
1,Non Portuguese
4,Portuguese
2,Non Portuguese
2,Portuguese
62,Non Portuguese
0,Portuguese
0,Portuguese
7,Non Portuguese
9,Non Portuguese
2,Portuguese
91,Non Portuguese
29,Portuguese
29,Portuguese
29,Non Portuguese
50,Portuguese
0,Non Portuguese
91,Non Portuguese
119,Non Portuguese
119,Non Portuguese
131,Non Portuguese
130,Non Portuguese
118,Non Portuguese
0,Non Portuguese
67,Non Portuguese
116,Non Portuguese
116,Non Portuguese
78,Non Portuguese
83,Non Portuguese
0,Portuguese
1,Portuguese
76,Non Portuguese
223,Non Portuguese
25,Non Portuguese
122,Non Portuguese
159,Non Portuguese
19,Non Portuguese
14,Non Portuguese
11,Non Portuguese
48,Non Portuguese
128,Portuguese
21,Non Portuguese
110,Non Portuguese
23,Non Portuguese
330,Non Portuguese
1,Portuguese
60,Non Portuguese
335,Non Portuguese
0,Non Portuguese
268,Non Portuguese
268,Non Portuguese
115,Non Portuguese
56,Non Portuguese
1,Non Portuguese
223,Non Portuguese
130,Non Portuguese
0,Non Portuguese
131,Non Portuguese
131,Non Portuguese
321,Non Portuguese
0,Non Portuguese
105,Non Portuguese
109,Non Portuguese
136,Non Portuguese
136,Non Portuguese
37,Portuguese
125,Non Portuguese
270,Non Portuguese
140,Non Portuguese
86,Non Portuguese
1,Portuguese
130,Non Portuguese
213,Non Portuguese
321,Non Portuguese
105,Non Portuguese
0,Portuguese
136,Non Portuguese
15,Non Portuguese
1,Portuguese
273,Non Portuguese
123,Non Portuguese
85,Non Portuguese
1,Portuguese
4,Non Portuguese
126,Non Portuguese
14,Non Portuguese
32,Non Portuguese
184,Portuguese
184,Portuguese
264,Non Portuguese
125,Non Portuguese
312,Non Portuguese
312,Non Portuguese
14,Non Portuguese
79,Non Portuguese
70,Non Portuguese
16,Non Portuguese
16,Non Portuguese
27,Non Portuguese
158,Non Portuguese
76,Non Portuguese
258,Non Portuguese
241,Non Portuguese
79,Non Portuguese
231,Non Portuguese
241,Non Portuguese
241,Non Portuguese
4,Portuguese
4,Portuguese
13,Portuguese
13,Portuguese
69,Non Portuguese
69,Non Portuguese
83,Non Portuguese
190,Non Portuguese
0,Non Portuguese
0,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
297,Non Portuguese
251,Non Portuguese
177,Non Portuguese
251,Non Portuguese
59,Non Portuguese
251,Non Portuguese
2,Non Portuguese
90,Non Portuguese
246,Non Portuguese
297,Non Portuguese
297,Non Portuguese
21,Non Portuguese
36,Non Portuguese
124,Non Portuguese
138,Non Portuguese
4,Non Portuguese
57,Non Portuguese
165,Non Portuguese
165,Non Portuguese
44,Portuguese
44,Non Portuguese
66,Non Portuguese
183,Non Portuguese
183,Non Portuguese
183,Non Portuguese
183,Non Portuguese
180,Portuguese
379,Non Portuguese
183,Non Portuguese
183,Non Portuguese
183,Non Portuguese
324,Non Portuguese
83,Non Portuguese
165,Non Portuguese
294,Non Portuguese
213,Non Portuguese
281,Non Portuguese
205,Non Portuguese
17,Non Portuguese
1,Portuguese
127,Non Portuguese
191,Non Portuguese
216,Non Portuguese
181,Non Portuguese
205,Non Portuguese
205,Non Portuguese
50,Non Portuguese
142,Portuguese
313,Non Portuguese
2,Portuguese
56,Non Portuguese
4,Portuguese
67,Non Portuguese
2,Portuguese
0,Portuguese
342,Non Portuguese
0,Portuguese
322,Non Portuguese
274,Non Portuguese
264,Non Portuguese
21,Non Portuguese
2,Portuguese
40,Non Portuguese
128,Non Portuguese
322,Non Portuguese
318,Non Portuguese
2,Portuguese
146,Non Portuguese
295,Non Portuguese
141,Non Portuguese
148,Non Portuguese
41,Non Portuguese
261,Non Portuguese
320,Non Portuguese
67,Non Portuguese
23,Non Portuguese
113,Non Portuguese
320,Non Portuguese
24,Portuguese
1,Portuguese
319,Non Portuguese
320,Non Portuguese
254,Non Portuguese
241,Non Portuguese
275,Non Portuguese
275,Non Portuguese
0,Portuguese
322,Non Portuguese
320,Non Portuguese
176,Non Portuguese
24,Portuguese
1,Portuguese
320,Non Portuguese
289,Non Portuguese
319,Non Portuguese
320,Non Portuguese
319,Non Portuguese
319,Non Portuguese
28,Portuguese
1,Portuguese
320,Non Portuguese
0,Non Portuguese
321,Non Portuguese
320,Non Portuguese
320,Non Portuguese
320,Non Portuguese
41,Non Portuguese
319,Non Portuguese
24,Portuguese
1,Portuguese
296,Non Portuguese
247,Non Portuguese
131,Non Portuguese
131,Non Portuguese
277,Non Portuguese
137,Non Portuguese
96,Non Portuguese
327,Non Portuguese
159,Non Portuguese
159,Non Portuguese
159,Non Portuguese
159,Non Portuguese
145,Non Portuguese
0,Non Portuguese
115,Non Portuguese
89,Portuguese
0,Non Portuguese
26,Portuguese
16,Non Portuguese
129,Portuguese
14,Non Portuguese
7,Non Portuguese
19,Non Portuguese
3,Non Portuguese
2,Non Portuguese
0,Portuguese
22,Non Portuguese
24,Non Portuguese
24,Non Portuguese
18,Portuguese
4,Non Portuguese
66,Non Portuguese
45,Portuguese
45,Portuguese
300,Non Portuguese
33,Portuguese
33,Portuguese
23,Portuguese
45,Portuguese
58,Non Portuguese
320,Non Portuguese
10,Non Portuguese
39,Non Portuguese
129,Non Portuguese
21,Non Portuguese
21,Non Portuguese
3,Non Portuguese
237,Non Portuguese
32,Non Portuguese
32,Non Portuguese
290,Non Portuguese
290,Non Portuguese
166,Non Portuguese
108,Non Portuguese
18,Non Portuguese
18,Non Portuguese
41,Non Portuguese
27,Portuguese
33,Non Portuguese
85,Non Portuguese
38,Portuguese
42,Non Portuguese
2,Portuguese
0,Non Portuguese
15,Non Portuguese
344,Non Portuguese
23,Non Portuguese
321,Non Portuguese
23,Non Portuguese
61,Non Portuguese
65,Non Portuguese
75,Non Portuguese
321,Non Portuguese
20,Non Portuguese
16,Portuguese
19,Non Portuguese
32,Non Portuguese
168,Non Portuguese
228,Non Portuguese
117,Non Portuguese
210,Non Portuguese
84,Non Portuguese
291,Non Portuguese
300,Non Portuguese
210,Non Portuguese
8,Non Portuguese
259,Non Portuguese
21,Non Portuguese
101,Non Portuguese
15,Non Portuguese
157,Non Portuguese
8,Non Portuguese
1,Portuguese
111,Non Portuguese
248,Non Portuguese
0,Portuguese
26,Non Portuguese
79,Non Portuguese
1,Non Portuguese
0,Non Portuguese
169,Non Portuguese
3,Portuguese
3,Portuguese
3,Portuguese
3,Non Portuguese
159,Non Portuguese
310,Non Portuguese
236,Non Portuguese
100,Non Portuguese
21,Non Portuguese
104,Non Portuguese
247,Non Portuguese
79,Non Portuguese
137,Non Portuguese
5,Portuguese
310,Non Portuguese
82,Non Portuguese
21,Non Portuguese
149,Non Portuguese
3,Non Portuguese
82,Non Portuguese
188,Non Portuguese
255,Non Portuguese
330,Non Portuguese
255,Non Portuguese
330,Non Portuguese
330,Non Portuguese
285,Non Portuguese
232,Non Portuguese
128,Non Portuguese
18,Portuguese
148,Non Portuguese
0,Non Portuguese
97,Non Portuguese
131,Non Portuguese
7,Portuguese
131,Non Portuguese
131,Non Portuguese
146,Non Portuguese
147,Non Portuguese
146,Non Portuguese
103,Non Portuguese
114,Non Portuguese
128,Non Portuguese
128,Non Portuguese
143,Non Portuguese
94,Non Portuguese
135,Non Portuguese
0,Non Portuguese
210,Non Portuguese
146,Portuguese
201,Non Portuguese
13,Non Portuguese
19,Portuguese
11,Portuguese
0,Portuguese
0,Portuguese
0,Portuguese
6,Portuguese
0,Portuguese
27,Non Portuguese
164,Non Portuguese
202,Non Portuguese
138,Portuguese
27,Non Portuguese
287,Non Portuguese
287,Non Portuguese
190,Non Portuguese
6,Portuguese
85,Non Portuguese
169,Non Portuguese
140,Portuguese
85,Non Portuguese
80,Portuguese
139,Portuguese
2,Portuguese
140,Non Portuguese
140,Non Portuguese
244,Non Portuguese
204,Non Portuguese
4,Non Portuguese
132,Non Portuguese
253,Non Portuguese
106,Non Portuguese
71,Non Portuguese
36,Non Portuguese
268,Non Portuguese
159,Non Portuguese
61,Non Portuguese
82,Non Portuguese
320,Non Portuguese
130,Non Portuguese
312,Non Portuguese
0,Portuguese
10,Non Portuguese
3,Non Portuguese
114,Non Portuguese
114,Non Portuguese
114,Non Portuguese
233,Non Portuguese
136,Portuguese
182,Non Portuguese
242,Non Portuguese
288,Non Portuguese
40,Portuguese
125,Non Portuguese
17,Non Portuguese
146,Non Portuguese
146,Non Portuguese
146,Non Portuguese
1,Non Portuguese
150,Non Portuguese
13,Non Portuguese
241,Non Portuguese
347,Non Portuguese
254,Non Portuguese
221,Non Portuguese
267,Non Portuguese
220,Non Portuguese
220,Non Portuguese
236,Non Portuguese
236,Non Portuguese
11,Portuguese
25,Portuguese
257,Non Portuguese
119,Non Portuguese
162,Portuguese
12,Portuguese
2,Portuguese
119,Non Portuguese
1,Portuguese
95,Portuguese
236,Non Portuguese
14,Portuguese
102,Portuguese
273,Portuguese
1,Portuguese
43,Non Portuguese
0,Non Portuguese
236,Non Portuguese
36,Portuguese
265,Non Portuguese
265,Non Portuguese
49,Portuguese
4,Portuguese
0,Non Portuguese
0,Non Portuguese
174,Non Portuguese
5,Portuguese
1,Non Portuguese
124,Portuguese
5,Portuguese
1,Portuguese
252,Non Portuguese
348,Non Portuguese
88,Non Portuguese
259,Non Portuguese
208,Portuguese
13,Non Portuguese
208,Non Portuguese
23,Non Portuguese
0,Non Portuguese
0,Portuguese
7,Portuguese
33,Non Portuguese
28,Non Portuguese
334,Non Portuguese
2,Portuguese
25,Non Portuguese
73,Non Portuguese
101,Portuguese
348,Non Portuguese
7,Portuguese
145,Non Portuguese
145,Non Portuguese
268,Non Portuguese
140,Non Portuguese
150,Non Portuguese
222,Non Portuguese
124,Non Portuguese
91,Non Portuguese
287,Non Portuguese
287,Non Portuguese
7,Portuguese
157,Non Portuguese
1,Portuguese
11,Non Portuguese
123,Non Portuguese
284,Portuguese
179,Non Portuguese
195,Non Portuguese
0,Portuguese
232,Non Portuguese
22,Portuguese
162,Non Portuguese
232,Non Portuguese
135,Non Portuguese
143,Portuguese
90,Non Portuguese
261,Non Portuguese
181,Non Portuguese
155,Non Portuguese
330,Non Portuguese
136,Portuguese
202,Non Portuguese
152,Portuguese
201,Non Portuguese
144,Non Portuguese
22,Non Portuguese
13,Portuguese
116,Non Portuguese
104,Portuguese
47,Non Portuguese
225,Non Portuguese
121,Non Portuguese
236,Non Portuguese
86,Non Portuguese
236,Portuguese
33,Non Portuguese
19,Portuguese
122,Non Portuguese
145,Non Portuguese
167,Non Portuguese
145,Non Portuguese
134,Non Portuguese
21,Portuguese
126,Non Portuguese
41,Non Portuguese
139,Non Portuguese
206,Non Portuguese
213,Non Portuguese
157,Non Portuguese
245,Non Portuguese
159,Non Portuguese
192,Non Portuguese
143,Non Portuguese
159,Non Portuguese
224,Non Portuguese
159,Non Portuguese
307,Non Portuguese
158,Non Portuguese
105,Non Portuguese
217,Non Portuguese
217,Non Portuguese
39,Non Portuguese
29,Non Portuguese
136,Non Portuguese
258,Non Portuguese
138,Non Portuguese
188,Non Portuguese
145,Non Portuguese
185,Non Portuguese
194,Non Portuguese
131,Non Portuguese
105,Portuguese
147,Portuguese
18,Non Portuguese
145,Non Portuguese
256,Non Portuguese
287,Non Portuguese
75,Non Portuguese
242,Non Portuguese
146,Non Portuguese
171,Non Portuguese
163,Non Portuguese
161,Non Portuguese
0,Portuguese
129,Non Portuguese
339,Non Portuguese
143,Non Portuguese
143,Non Portuguese
81,Portuguese
224,Non Portuguese
282,Non Portuguese
282,Non Portuguese
256,Non Portuguese
125,Non Portuguese
13,Non Portuguese
190,Portuguese
158,Portuguese
139,Non Portuguese
339,Non Portuguese
1,Non Portuguese
0,Non Portuguese
2,Portuguese
57,Non Portuguese
57,Non Portuguese
33,Non Portuguese
33,Non Portuguese
132,Non Portuguese
176,Non Portuguese
275,Non Portuguese
257,Non Portuguese
45,Non Portuguese
133,Non Portuguese
10,Non Portuguese
123,Non Portuguese
0,Portuguese
156,Non Portuguese
223,Non Portuguese
223,Non Portuguese
137,Portuguese
154,Portuguese
280,Non Portuguese
75,Non Portuguese
0,Non Portuguese
1,Non Portuguese
0,Non Portuguese
0,Non Portuguese
127,Non Portuguese
32,Non Portuguese
205,Non Portuguese
26,Non Portuguese
331,Non Portuguese
133,Non Portuguese
218,Non Portuguese
149,Non Portuguese
257,Non Portuguese
182,Non Portuguese
117,Non Portuguese
4,Non Portuguese
239,Non Portuguese
239,Non Portuguese
239,Non Portuguese
239,Non Portuguese
2,Non Portuguese
239,Non Portuguese
154,Portuguese
78,Portuguese
26,Non Portuguese
247,Non Portuguese
236,Non Portuguese
16,Non Portuguese
116,Non Portuguese
28,Non Portuguese
333,Non Portuguese
152,Non Portuguese
88,Non Portuguese
129,Non Portuguese
152,Non Portuguese
97,Non Portuguese
225,Non Portuguese
23,Non Portuguese
27,Non Portuguese
9,Portuguese
136,Non Portuguese
241,Non Portuguese
2,Portuguese
65,Non Portuguese
136,Portuguese
12,Non Portuguese
4,Portuguese
4,Non Portuguese
4,Non Portuguese
9,Non Portuguese
19,Non Portuguese
134,Portuguese
35,Portuguese
25,Non Portuguese
1,Non Portuguese
128,Non Portuguese
224,Non Portuguese
6,Non Portuguese
7,Portuguese
6,Non Portuguese
82,Non Portuguese
27,Portuguese
319,Non Portuguese
150,Non Portuguese
318,Non Portuguese
318,Non Portuguese
25,Non Portuguese
6,Portuguese
124,Non Portuguese
124,Non Portuguese
35,Non Portuguese
242,Non Portuguese
136,Non Portuguese
328,Non Portuguese
328,Non Portuguese
120,Portuguese
27,Portuguese
247,Non Portuguese
1,Portuguese
23,Non Portuguese
262,Non Portuguese
2,Portuguese
9,Portuguese
0,Portuguese
247,Non Portuguese
247,Non Portuguese
247,Non Portuguese
2,Portuguese
5,Portuguese
207,Non Portuguese
19,Non Portuguese
132,Non Portuguese
11,Non Portuguese
20,Non Portuguese
0,Non Portuguese
0,Portuguese
223,Non Portuguese
332,Non Portuguese
157,Non Portuguese
273,Non Portuguese
198,Non Portuguese
294,Non Portuguese
253,Non Portuguese
264,Non Portuguese
112,Non Portuguese
250,Non Portuguese
246,Non Portuguese
218,Portuguese
21,Non Portuguese
15,Non Portuguese
10,Portuguese
245,Non Portuguese
253,Non Portuguese
110,Non Portuguese
275,Non Portuguese
323,Non Portuguese
326,Non Portuguese
325,Non Portuguese
43,Non Portuguese
104,Non Portuguese
6,Portuguese
326,Non Portuguese
37,Portuguese
20,Non Portuguese
327,Non Portuguese
327,Non Portuguese
307,Non Portuguese
3,Non Portuguese
1,Non Portuguese
222,Non Portuguese
222,Non Portuguese
12,Non Portuguese
64,Non Portuguese
277,Non Portuguese
44,Non Portuguese
337,Non Portuguese
292,Non Portuguese
186,Non Portuguese
255,Non Portuguese
344,Non Portuguese
238,Non Portuguese
284,Non Portuguese
307,Non Portuguese
331,Non Portuguese
337,Non Portuguese
121,Portuguese
259,Non Portuguese
325,Non Portuguese
225,Non Portuguese
93,Portuguese
115,Non Portuguese
259,Non Portuguese
260,Non Portuguese
322,Non Portuguese
299,Non Portuguese
251,Non Portuguese
45,Non Portuguese
251,Non Portuguese
251,Non Portuguese
7,Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
7,Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
8,Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
251,Non Portuguese
0,Non Portuguese
156,Non Portuguese
279,Non Portuguese
105,Non Portuguese
335,Non Portuguese
91,Non Portuguese
2,Portuguese
2,Non Portuguese
123,Non Portuguese
0,Non Portuguese
12,Portuguese
12,Portuguese
308,Portuguese
274,Non Portuguese
288,Portuguese
274,Non Portuguese
251,Non Portuguese
284,Non Portuguese
0,Non Portuguese
244,Non Portuguese
249,Non Portuguese
282,Non Portuguese
43,Non Portuguese
170,Non Portuguese
46,Non Portuguese
46,Non Portuguese
314,Portuguese
282,Portuguese
282,Non Portuguese
122,Non Portuguese
0,Portuguese
255,Portuguese
318,Non Portuguese
282,Non Portuguese
117,Non Portuguese
282,Non Portuguese
282,Non Portuguese
148,Non Portuguese
326,Non Portuguese
9,Portuguese
21,Portuguese
295,Non Portuguese
84,Portuguese
138,Non Portuguese
86,Portuguese
86,Portuguese
1,Portuguese
128,Non Portuguese
7,Portuguese
84,Portuguese
20,Portuguese
9,Non Portuguese
86,Portuguese
17,Portuguese
1,Portuguese
4,Portuguese
124,Portuguese
0,Non Portuguese
272,Portuguese
324,Non Portuguese
86,Portuguese
14,Portuguese
86,Portuguese
1,Portuguese
112,Non Portuguese
20,Portuguese
274,Non Portuguese
226,Non Portuguese
1,Non Portuguese
112,Non Portuguese
112,Non Portuguese
44,Non Portuguese
44,Non Portuguese
152,Non Portuguese
44,Non Portuguese
44,Non Portuguese
347,Non Portuguese
270,Non Portuguese
299,Non Portuguese
268,Non Portuguese
19,Non Portuguese
1,Non Portuguese
127,Portuguese
17,Non Portuguese
7,Portuguese
2,Non Portuguese
28,Non Portuguese
139,Non Portuguese
0,Portuguese
2,Non Portuguese
5,Non Portuguese
274,Portuguese
4,Portuguese
